They aren't here.	They won't be here.
Are they able to do it today?	Will they be able to do it tomorrow?
You are young.	You will be young.
She has a job.	She will have a job.
He likes to do that.	He will like to do that.
He's not eating here.	He will not be eating here.
She figures it's now.	She'll figure it'll be then.
She knows we were there.	She will know we were there.
The machines are functional.	The machines will be functional.
Gathering information is fundamental.	Gathering information will be fundamental.
Success is determined by effort.	Success will be determined by effort.
I figure things out.	I will figure things out.
They are aware of our current machinations.	They will be aware of our future machinations.
She must be aware.	She will have to be aware.
They can infer it.	They will be able to infer it.
He can't please everyone.	He won't be able to please everyone.
You don't have to do it.	You won't have to do it.
She needs to find out.	She will need to find out.
Can they come too?	Will they be able to come too?
Where are they?	Where will they be?
He can part the seas.	He will be able to part the seas.
It simplifies things.	It will simplify things.
They try to but they can't.	They will try to but they won't be able to.
Manufacturing must increase.	Manufacturing will have to increase.
Nobody wants to work.	Nobody will want to work.
Wages are too low.	Wages will be too low.
The grants are sufficient.	The grants will be sufficient.
She isn't short.	She won't be short.
Are costs climbing?	Will costs be climbing?
Figures indicate so.	Figures will indicate so.
You can try to convince the council.	You will be able to try to convince the council.
It's not my favorite dish.	It won't be my favorite dish.
Their rank is likely low.	Their rank will likely be low.
It's honestly too bad.	It'll honestly be too bad.
We're in trouble.	We'll be in trouble.
He decides when he wants to go to sleep.	He'll decide when he'll want to go to sleep.
Everyone drives at present.	Everyone will drive in the future.
Infrastructure cannot withstand current loads.	Infrastructure will not be able to withstand future loads.
Seven becomes eight.	Seven will become eight.
Can't they just fix it?	Won't they just be able to fix it?
The wrestler unleaches a vicious attack.	The wrestler will unleash a vicious attack.
Garfield loves coffee.	Garfield will love coffee.
The flavour profile is ideal.	The flavour profile will be ideal.
Traffic is considerable.	Traffic will be considerable.
We brew the best coffee.	We will brew the best coffee.
This year our harvest is great.	Next year our harvest will be great.
I don't remember.	I won't remember.
We take notes on discussions.	We will take notes on discussions.
Sanitation is of the essence.	Sanitation will be of the essence.
They don't know what they're facing.	They won't know what they'll be facing.
