Eritrea was annexed by Ethiopia in 1953	When was Eritrea annexed by Ethiopia ?
The racial definition was more flexible in the 18th and 19th centuries .	When was racial definition more flexible ?
Some viruses never leave the body when acquired .	What never leave the body when acquired ?
The overhead wires system was used for the first time in UK on December 1 , 1909 .	When was overhead wires system being used for the first time in UK ?
The pulp papermaking process was developed in 2nd century AD .	When was the pulp papermaking process developed ?
Eritrean government began to officially recognize certain churches in May 2002 .	When did the Eritrean government begin to officially recognize certain churches ?
The International Chopin Piano Competition was established in 1927 .	When was the International Chopin Piano Competition established ?
Secondary schooling typically take place during teenage years .	When does secondary schooling typically take place ?
Weld was re-elected governor in 1994 .	When was Weld re-elected governor ?
Kerry became a lieutenant in January 1,1970 .	When did Kerry become a lieutenant ?
The University of Southampton received university designation by official Royal Charter in 1952 .	When did the University of Southampton receive university designation by official Royal Charter ?
The `` Shell '' Transport and Trading Company was founded in 1897 .	When WAS the `` Shell '' Transport and Trading Company founded ?
In 1987 the 11kV system of NY , New Haven and Hartford was converted to 12.5 kV .	When was a 11kV system of NY , New Haven and Hartford was converted to 12.5 kV ?
The Antikythera mechanism was used in 150-100 BC .	When was the Antikythera mechanism used ?
some plants produced nectar and large sticky pollen when flowers became less simple .	What did some plants produce when flowers became less simple ?
Napoleon won victories at Austerlitz and Jena in 1805 and 1806 .	When did Napoleon win victories at Austerlitz and Jena ?
It is called polymorphic when multiple different alleles for a gene are present in a species ' population .	What is it called when multiple different alleles for a gene are present in a species 's population ?
Chopin proposed marriage to Maria Wodzinski in July 1836 .	When did Chopin propose marriage to Maria Wodziński ?
1950 is when Kim Il-Sung called for the Haeju conference .	When did Kim Il-Sung call for the Haeju conference ?
These groups made the migration around 1200 BC .	When did these groups make the migration ?
In September 1829 , Chopin returned to Warsaw .	When did Chopin return to Warsaw ?
PVA troops were told to remain motionless when planes flew by .	What were PVA troops told to do when planes flew by ?
The concept was broadened to include young adults .	What changed when the concept was broadened ?
A huge deficit and rising inflation placed pressure on Estonia 's currency in 2007 .	When did a huge deficit and rising inflation place pressure on Estonia 's currency ?
Napoleon began religious schooling in Autun on January 1779	When did Napoleon begin religious schooling in Autun ?
Arrival of the Three Queens is the event when three ships named after queens all visit the city of Southampton .	What does Southampton call the event when three ships named after queens all visit the city ?
Kerry entered law school in September 1973 .	When did Kerry enter law school ?
Chopin wrote `` I curse the moment of my departure '' to a friend when he was alone and homesick .	What were the words Chopin wrote to a friend when he was alone and homesick ?
Napoleon 's body was well preserved when it was moved in 1840 .	What condition was Napoleon 's body in when it was moved in 1840 ?
The FAA decided to expand passengers use of portable electronic devices during all phases of flight on October 31 , 2013	When did the FAA decide to expand passengers use of portable elctronic devices during all phases of flight ?
The first Boat Show was held in Mayflower Park in 1968 .	When was the Boat Show first held in Mayflower Park ?
The Chengdu Hi-tech Industrial Development Zone was established in 1988 .	When was the Chengdu Hi-tech Industrial Development Zone established ?
It was called `` German reunification '' when East Germany joined the republic .	What was it called when East Germany joined the republic ?
Stepper motors are most useful when precise rotations are required .	When are stepper motors most useful ?
Napoleon was crowned Emperor on 2 December 1804 .	When was Napoleon crowned Emperor ?
Dennis Hastert was speaker of the house when Tom Delay was Majority leader .	Who was speaker of the house When Tom Delay was Majority leader ?
Kerry ran for Senate in 1984 .	When did Kerry run for Senate ?
he attack on the residence occurred in November 2008	When did the attack on the residence occur ?
Aside from when they 're speaking to Italians from their same town or region , at home with family is a common place where Italians speak their regional language .	Aside from when they 're speaking to Italians from their same town or region , where is a common place where Italians speak their regional language ?
Vieira , a former president , was deposed in 1999 .	When was Vieira , a former president , deposed ?
Marie Louise gave birth on 20 March 1811 .	When did Marie Louise give birth ?
The People 's Republic of China was created in 1949 .	When was the People 's Republic of China created ?
When slavery ended , the Civil War happened in the US , not in Brazil .	What is happened in the US that did not happen in Brazil when slavery ended ?
The usual penalty when the rules of play are violated is loss of yardage .	What is the usual penalty when the rules of play are violated ?
Identity achievement is the permutation when a person commits to identity choices .	What is the permutation when a person commits to identity choices ?
An Essay Towards the Theory of the Ideal or Intelligible World was written in 1701 .	When was An Essay Towards the Theory of the Ideal or Intelligible World written ?
The Collegiate School of Saybrook Colony founded in 1701 .	When was the Collegiate School of Saybrook Colony founded ?
when organisms are lethal to their hostnecrotrophic	What is it called when organisms are lethal to their host ?
The deported Estonians were allowed to return in the early 1960s .	When were the deported Estonians allowed to return ?
Bern regained control of Bernese Oberland in 1802 .	When did Bern regain control of Bernese Oberland ?
